"","date","location","location_type","location_code","location_code_type","data_type","value"
"1",2020-04-12,"Alabama","state","01","fips_code","cases_total",3583
"2",2020-04-12,"Alabama","state","01","fips_code","deaths_total",93
"3",2020-04-12,"Alaska","state","02","fips_code","cases_total",270
"4",2020-04-12,"Alaska","state","02","fips_code","deaths_total",6
"5",2020-04-12,"American Samoa","state","60","fips_code","cases_total",0
"6",2020-04-12,"American Samoa","state","60","fips_code","deaths_total",0
"7",2020-04-12,"Arizona","state","04","fips_code","cases_total",3539
"8",2020-04-12,"Arizona","state","04","fips_code","deaths_total",117
"9",2020-04-12,"Arkansas","state","05","fips_code","cases_total",1280
"10",2020-04-12,"Arkansas","state","05","fips_code","deaths_total",27
"11",2020-04-12,"California","state","06","fips_code","cases_total",23323
"12",2020-04-12,"California","state","06","fips_code","deaths_total",676
"13",2020-04-12,"Colorado","state","08","fips_code","cases_total",7303
"14",2020-04-12,"Colorado","state","08","fips_code","deaths_total",290
"15",2020-04-12,"Connecticut","state","09","fips_code","cases_total",12035
"16",2020-04-12,"Connecticut","state","09","fips_code","deaths_total",554
"17",2020-04-12,"Delaware","state","10","fips_code","cases_total",1625
"18",2020-04-12,"Delaware","state","10","fips_code","deaths_total",35
"19",2020-04-12,"District of Columbia","state","11","fips_code","cases_total",1875
"20",2020-04-12,"District of Columbia","state","11","fips_code","deaths_total",50
"21",2020-04-12,"Florida","state","12","fips_code","cases_total",19887
"22",2020-04-12,"Florida","state","12","fips_code","deaths_total",460
"23",2020-04-12,"Georgia","state","13","fips_code","cases_total",12103
"24",2020-04-12,"Georgia","state","13","fips_code","deaths_total",438
"25",2020-04-12,"Guam","state","66","fips_code","cases_total",716
"26",2020-04-12,"Guam","state","66","fips_code","deaths_total",5
"27",2020-04-12,"Hawaii","state","15","fips_code","cases_total",497
"28",2020-04-12,"Hawaii","state","15","fips_code","deaths_total",9
"29",2020-04-12,"Idaho","state","16","fips_code","cases_total",1426
"30",2020-04-12,"Idaho","state","16","fips_code","deaths_total",27
"31",2020-04-12,"Illinois","state","17","fips_code","cases_total",20852
"32",2020-04-12,"Illinois","state","17","fips_code","deaths_total",727
"33",2020-04-12,"Indiana","state","18","fips_code","cases_total",7928
"34",2020-04-12,"Indiana","state","18","fips_code","deaths_total",343
"35",2020-04-12,"Iowa","state","19","fips_code","cases_total",1587
"36",2020-04-12,"Iowa","state","19","fips_code","deaths_total",41
"37",2020-04-12,"Kansas","state","20","fips_code","cases_total",1338
"38",2020-04-12,"Kansas","state","20","fips_code","deaths_total",56
"39",2020-04-12,"Kentucky","state","21","fips_code","cases_total",1963
"40",2020-04-12,"Kentucky","state","21","fips_code","deaths_total",98
"41",2020-04-12,"Louisiana","state","22","fips_code","cases_total",20595
"42",2020-04-12,"Louisiana","state","22","fips_code","deaths_total",840
"43",2020-04-12,"Maine","state","23","fips_code","cases_total",633
"44",2020-04-12,"Maine","state","23","fips_code","deaths_total",19
"45",2020-04-12,"Maryland","state","24","fips_code","cases_total",8225
"46",2020-04-12,"Maryland","state","24","fips_code","deaths_total",236
"47",2020-04-12,"Massachusetts","state","25","fips_code","cases_total",25475
"48",2020-04-12,"Massachusetts","state","25","fips_code","deaths_total",756
"49",2020-04-12,"Michigan","state","26","fips_code","cases_total",24494
"50",2020-04-12,"Michigan","state","26","fips_code","deaths_total",1486
"51",2020-04-12,"Minnesota","state","27","fips_code","cases_total",1621
"52",2020-04-12,"Minnesota","state","27","fips_code","deaths_total",70
"53",2020-04-12,"Mississippi","state","28","fips_code","cases_total",2781
"54",2020-04-12,"Mississippi","state","28","fips_code","deaths_total",96
"55",2020-04-12,"Missouri","state","29","fips_code","cases_total",4160
"56",2020-04-12,"Missouri","state","29","fips_code","deaths_total",116
"57",2020-04-12,"Montana","state","30","fips_code","cases_total",387
"58",2020-04-12,"Montana","state","30","fips_code","deaths_total",6
"59",2020-04-12,"Nebraska","state","31","fips_code","cases_total",820
"60",2020-04-12,"Nebraska","state","31","fips_code","deaths_total",18
"61",2020-04-12,"Nevada","state","32","fips_code","cases_total",2860
"62",2020-04-12,"Nevada","state","32","fips_code","deaths_total",113
"63",2020-04-12,"New Hampshire","state","33","fips_code","cases_total",985
"64",2020-04-12,"New Hampshire","state","33","fips_code","deaths_total",23
"65",2020-04-12,"New Jersey","state","34","fips_code","cases_total",61850
"66",2020-04-12,"New Jersey","state","34","fips_code","deaths_total",2350
"67",2020-04-12,"New Mexico","state","35","fips_code","cases_total",1245
"68",2020-04-12,"New Mexico","state","35","fips_code","deaths_total",26
"69",2020-04-12,"New York","state","36","fips_code","cases_total",188694
"70",2020-04-12,"New York","state","36","fips_code","deaths_total",9385
"71",2020-04-12,"North Carolina","state","37","fips_code","cases_total",4520
"72",2020-04-12,"North Carolina","state","37","fips_code","deaths_total",86
"73",2020-04-12,"North Dakota","state","38","fips_code","cases_total",308
"74",2020-04-12,"North Dakota","state","38","fips_code","deaths_total",8
"75",2020-04-12,"Northern Mariana Islands","state","69","fips_code","cases_total",11
"76",2020-04-12,"Northern Mariana Islands","state","69","fips_code","deaths_total",2
"77",2020-04-12,"Ohio","state","39","fips_code","cases_total",6604
"78",2020-04-12,"Ohio","state","39","fips_code","deaths_total",253
"79",2020-04-12,"Oklahoma","state","40","fips_code","cases_total",1970
"80",2020-04-12,"Oklahoma","state","40","fips_code","deaths_total",96
"81",2020-04-12,"Oregon","state","41","fips_code","cases_total",1527
"82",2020-04-12,"Oregon","state","41","fips_code","deaths_total",52
"83",2020-04-12,"Pennsylvania","state","42","fips_code","cases_total",22955
"84",2020-04-12,"Pennsylvania","state","42","fips_code","deaths_total",525
"85",2020-04-12,"Puerto Rico","state","72","fips_code","cases_total",897
"86",2020-04-12,"Puerto Rico","state","72","fips_code","deaths_total",44
"87",2020-04-12,"Rhode Island","state","44","fips_code","cases_total",2665
"88",2020-04-12,"Rhode Island","state","44","fips_code","deaths_total",63
"89",2020-04-12,"South Carolina","state","45","fips_code","cases_total",3319
"90",2020-04-12,"South Carolina","state","45","fips_code","deaths_total",82
"91",2020-04-12,"South Dakota","state","46","fips_code","cases_total",730
"92",2020-04-12,"South Dakota","state","46","fips_code","deaths_total",6
"93",2020-04-12,"Tennessee","state","47","fips_code","cases_total",5144
"94",2020-04-12,"Tennessee","state","47","fips_code","deaths_total",107
"95",2020-04-12,"Texas","state","48","fips_code","cases_total",13774
"96",2020-04-12,"Texas","state","48","fips_code","deaths_total",289
"97",2020-04-12,"Utah","state","49","fips_code","cases_total",2303
"98",2020-04-12,"Utah","state","49","fips_code","deaths_total",18
"99",2020-04-12,"Vermont","state","50","fips_code","cases_total",727
"100",2020-04-12,"Vermont","state","50","fips_code","deaths_total",27
"101",2020-04-12,"Virgin Islands","state","78","fips_code","cases_total",51
"102",2020-04-12,"Virgin Islands","state","78","fips_code","deaths_total",1
"103",2020-04-12,"Virginia","state","51","fips_code","cases_total",5274
